name,operation,key size(B),value size(B),insert size,time(ns),vmrss(KB),file size(KB)
Rocksdb,get,1024,4096,65536,278129944,612148,399492
Sled,set,8,256,16384,714492492,612404,7614
Sled,set,8,256,32768,1389732295,612660,15360
Sled,set,8,256,65536,2686050982,612660,30720
Sled,get,8,256,16384,7709648,612660,30720
Sled,get,8,256,32768,15647477,612660,30720
Sled,get,8,256,65536,30343986,612660,30720
Sled,set,8,4096,16384,1751232820,414088,157184
Sled,set,8,4096,32768,3444176029,414088,299862
Sled,set,8,4096,65536,6744826424,416392,585216
Sled,get,8,4096,16384,14166839,416392,585216
Sled,get,8,4096,32768,26768180,416392,585216
Sled,get,8,4096,65536,50473952,416392,585216
Sled,set,1024,256,16384,972741290,416392,38591
Sled,set,1024,256,32768,1964873239,416392,82051
Sled,set,1024,256,65536,3811110522,416392,180238
Sled,get,1024,256,16384,11375765,416392,180238
Sled,get,1024,256,32768,22431705,416392,180238
Sled,get,1024,256,65536,42617998,416392,180238
Sled,set,1024,4096,16384,1934696399,416392,180736
Sled,set,1024,4096,32768,3837504935,416392,365056
Sled,set,1024,4096,65536,7646185815,465544,755712
Sled,get,1024,4096,16384,16281885,465544,755712
Sled,get,1024,4096,32768,32213719,465544,755712
Sled,get,1024,4096,65536,62963241,465544,755712
