name,operation,key size(B),value size(B),thread,insert size,time(ns),vmrss(KB),file size(B)
Persy,get,8,256,2,18258,39006066369,6763112,15366
Persy,set,8,256,2,18734,40006242098,6763112,15366
Persy,get,8,256,2,18769,40006242098,6763112,15366
Persy,set,8,256,2,19261,41006428508,6763112,15494
Persy,get,8,256,2,19228,41006428508,6763112,15494
Persy,set,8,256,2,19768,42006611911,6763112,15494
Persy,get,8,256,2,19747,42006611911,6763112,15494
Persy,set,8,256,2,20272,43006780487,6763112,15430
Persy,get,8,256,2,20231,43006780487,6763112,15430
Persy,set,8,256,2,20773,44006934435,6763112,15558
Persy,get,8,256,2,20711,44006934435,6763112,15558
Persy,set,8,256,2,21301,45007118760,6763112,15558
Persy,get,8,256,2,21243,45007118760,6763112,15558
Persy,set,8,256,2,21852,46007268831,6763112,15558
Persy,get,8,256,2,21838,46007268831,6763112,15558
Persy,set,8,256,2,22414,47007416867,6763112,15558
Persy,get,8,256,2,22398,47007416867,6763112,15558
Persy,set,8,256,2,22966,48007584301,6763112,15558
Persy,get,8,256,2,22971,48007584301,6763112,15558
Persy,set,8,256,2,23516,49007756764,6763112,15558
Persy,get,8,256,2,23475,49007756764,6763112,15558
Persy,set,8,256,2,24039,50007922254,6763112,15558
Persy,get,8,256,2,24052,50007922254,6763112,15558
Persy,set,8,256,2,24545,51008083195,6763112,15558
Persy,get,8,256,2,24586,51008083195,6763112,15558
Persy,set,8,256,2,25065,52008247783,6763112,15558
Persy,get,8,256,2,25063,52008247783,6763112,15558
Persy,set,8,256,2,25596,53008402873,6763112,15558
Persy,get,8,256,2,25630,53008402873,6763112,15558
Persy,set,8,256,2,26121,54008545319,6763112,15462
Persy,get,8,256,2,26168,54008545319,6763112,15462
Persy,set,8,256,2,26645,55008691472,6763112,15494
Persy,get,8,256,2,26672,55008691472,6763112,15494
Persy,set,8,256,2,27164,56008850440,6763112,15622
Persy,get,8,256,2,27214,56008850440,6763112,15622
Persy,set,8,256,2,27676,57009020578,6763112,15558
Persy,get,8,256,2,27766,57009020578,6763112,15558
Persy,set,8,256,2,28181,58009187791,6763112,15558
Persy,get,8,256,2,28277,58009187791,6763112,15558
Persy,set,8,256,2,28708,59009303307,6763112,15558
Persy,get,8,256,2,28821,59009303307,6763112,15558
Persy,set,8,256,2,29263,60009446484,6763112,15686
Persy,get,8,256,2,29420,60009446484,6763112,15686
Persy,set,8,256,2,29810,61009584192,6763112,15686
Persy,get,8,256,2,29975,61009584192,6763112,15686
Persy,set,8,256,2,30363,62009721949,6763112,15654
Persy,get,8,256,2,30503,62009721949,6763112,15654
Persy,set,8,256,2,30903,63009872060,6763112,15654
Persy,get,8,256,2,31056,63009872060,6763112,15654
Persy,set,8,256,2,31396,64010025186,6763112,17638
Persy,get,8,256,2,31500,64010025186,6763112,17638
Persy,set,8,256,2,31804,65010175577,6763112,24166
Persy,get,8,256,2,31915,65010175577,6763112,24166
Persy,set,8,256,2,32313,66010316781,6763112,24038
Persy,get,8,256,2,32449,66010316781,6763112,24038
Persy,set,8,256,2,32822,67010465780,6763112,23974
Persy,get,8,256,2,32920,67010465780,6763112,23974
Persy,set,8,256,2,33208,68010599239,6763112,31822
Persy,get,8,256,2,33309,68010599239,6763112,31822
Persy,set,8,256,2,33748,69010742116,6763112,31758
Persy,get,8,256,2,33832,69010742116,6763112,31758
Persy,set,8,256,2,34275,70010942081,6763112,31758
Persy,get,8,256,2,34389,70010942081,6763112,31758
Persy,set,8,256,2,34801,71011085258,6763112,31758
Persy,get,8,256,2,34901,71011085258,6763112,31758
Persy,set,8,256,2,35327,72011253524,6763112,31822
Persy,get,8,256,2,35462,72011253524,6763112,31822
Persy,set,8,256,2,35831,73011404957,6763112,31886
Persy,get,8,256,2,35909,73011404957,6763112,31886
Persy,set,8,256,2,36395,74011543686,6763112,31886
Persy,get,8,256,2,36522,74011543686,6763112,31886
Persy,set,8,256,2,36947,75011705218,6763112,31886
Persy,get,8,256,2,37031,75011705218,6763112,31886
